Note,Row,Octave,Key,Time,Measure,Where,Background
TRUE,1,3,7,2,0,0,FALSE
TRUE,2,1,7,0.9,0,0,TRUE
FALSE,2,2,2,0.9,0,0,TRUE
FALSE,2,2,7,0.9,0,0,TRUE
TRUE,2,1,7,0.9,0,1,TRUE
FALSE,2,2,2,0.9,0,1,TRUE
FALSE,2,2,7,0.9,0,1,TRUE
TRUE,1,3,6,0.5,0,2,FALSE
TRUE,2,1,9,0.9,0,2,TRUE
FALSE,2,2,2,0.9,0,2,TRUE
FALSE,2,2,6,0.9,0,2,TRUE
TRUE,1,3,7,0.5,0,2.5,FALSE
TRUE,1,3,9,1,0,3,FALSE
TRUE,2,1,9,0.9,0,3,TRUE
FALSE,2,2,2,0.9,0,3,TRUE
FALSE,2,2,6,0.9,0,3,TRUE
TRUE,1,3,4,2,1,0,FALSE
TRUE,2,1,11,0.9,1,0,TRUE
FALSE,2,2,7,0.9,1,0,TRUE
FALSE,2,2,11,0.9,1,0,TRUE
TRUE,2,1,11,0.9,1,1,TRUE
FALSE,2,2,7,0.9,1,1,TRUE
FALSE,2,2,11,0.9,1,1,TRUE
TRUE,1,3,2,2,1,2,FALSE
TRUE,2,1,11,0.9,1,2,TRUE
FALSE,2,2,7,0.9,1,2,TRUE
FALSE,2,2,11,0.9,1,2,TRUE
TRUE,2,1,11,0.9,1,3,TRUE
FALSE,2,2,7,0.9,1,3,TRUE
TRUE,1,3,0,2,2,0,FALSE
TRUE,2,2,0,0.9,2,0,TRUE
FALSE,2,2,4,0.9,2,0,TRUE
FALSE,2,2,7,0.9,2,0,TRUE
TRUE,2,2,0,0.9,2,1,TRUE
FALSE,2,2,4,0.9,2,1,TRUE
FALSE,2,2,7,0.9,2,1,TRUE
TRUE,1,2,11,0.5,2,2,FALSE
TRUE,2,2,2,0.9,2,2,TRUE
FALSE,2,2,7,0.9,2,2,TRUE
FALSE,2,2,11,0.9,2,2,TRUE
TRUE,1,3,0,0.5,2,2.5,FALSE
TRUE,1,3,2,1,2,3,FALSE
TRUE,2,2,2,0.9,2,3,TRUE
FALSE,2,2,7,0.9,2,3,TRUE
FALSE,2,2,11,0.9,2,3,TRUE
TRUE,1,2,9,4,3,0,FALSE
TRUE,2,2,4,0.9,3,0,TRUE
FALSE,2,2,7,0.9,3,0,TRUE
TRUE,2,2,4,0.9,3,1,TRUE
FALSE,2,2,7,0.9,3,1,TRUE
TRUE,2,2,2,0.9,3,2,TRUE
FALSE,2,2,6,0.9,3,2,TRUE
TRUE,2,2,2,0.9,3,3,TRUE
FALSE,2,2,6,0.9,3,3,TRUE
TRUE,1,2,11,2,4,0,FALSE
TRUE,2,1,7,0.9,4,0,TRUE
FALSE,2,2,2,0.9,4,0,TRUE
FALSE,2,2,7,0.9,4,0,TRUE
TRUE,2,1,7,0.9,4,1,TRUE
FALSE,2,2,2,0.9,4,1,TRUE
FALSE,2,2,7,0.9,4,1,TRUE
TRUE,1,3,1,0.5,4,2,FALSE
TRUE,2,1,7,0.9,4,2,TRUE
FALSE,2,2,4,0.9,4,2,TRUE
FALSE,2,2,9,0.9,4,2,TRUE
TRUE,1,3,2,1,4,2.5,FALSE
TRUE,2,1,7,0.9,4,3,TRUE
FALSE,2,2,4,0.9,4,3,TRUE
FALSE,2,2,9,0.9,4,3,TRUE
TRUE,1,3,4,0.5,4,3.5,FALSE
TRUE,1,3,9,2,5,0,FALSE
TRUE,2,1,6,0.9,5,0,TRUE
FALSE,2,2,2,0.9,5,0,TRUE
FALSE,2,2,9,0.9,5,0,TRUE
TRUE,2,1,6,0.9,5,1,TRUE
FALSE,2,2,2,0.9,5,1,TRUE
FALSE,2,2,9,0.9,5,1,TRUE
TRUE,1,3,2,2,5,2,FALSE
TRUE,2,1,11,0.9,5,2,TRUE
FALSE,2,2,6,0.9,5,2,TRUE
FALSE,2,2,11,0.9,5,2,TRUE
TRUE,2,1,11,0.9,5,3,TRUE
FALSE,2,2,6,0.9,5,3,TRUE
FALSE,2,2,11,0.9,5,3,TRUE
TRUE,1,3,7,1.9,6,0,FALSE
TRUE,2,1,4,0.9,6,0,TRUE
FALSE,2,2,4,0.9,6,0,TRUE
FALSE,2,2,7,0.9,6,0,TRUE
FALSE,2,2,9,0.9,6,0,TRUE
TRUE,2,1,4,0.9,6,1,TRUE
FALSE,2,2,4,0.9,6,1,TRUE
FALSE,2,2,7,0.9,6,1,TRUE
FALSE,2,2,9,0.9,6,1,TRUE
TRUE,1,3,7,0.5,6,2,FALSE
TRUE,2,1,9,0.9,6,2,TRUE
FALSE,2,2,4,0.9,6,2,TRUE
FALSE,2,2,7,0.9,6,2,TRUE
FALSE,2,2,9,0.9,6,2,TRUE
TRUE,1,3,6,1,6,2.5,FALSE
TRUE,2,1,9,0.9,6,3,TRUE
FALSE,2,2,4,0.9,6,3,TRUE
FALSE,2,2,7,0.9,6,3,TRUE
FALSE,2,2,9,0.9,6,3,TRUE
TRUE,1,3,4,0.5,6,3.5,FALSE
TRUE,1,3,2,4,7,0,FALSE
TRUE,2,2,2,0.9,7,0,TRUE
FALSE,2,2,6,0.9,7,0,TRUE
FALSE,2,2,9,0.9,7,0,TRUE
TRUE,2,2,2,0.9,7,1,TRUE
FALSE,2,2,6,0.9,7,1,TRUE
FALSE,2,2,9,0.9,7,1,TRUE
TRUE,2,2,2,0.9,7,2,TRUE
FALSE,2,2,6,0.9,7,2,TRUE
FALSE,2,2,9,0.9,7,2,TRUE
FALSE,2,3,0,0.9,7,2,TRUE
TRUE,2,2,2,0.9,7,3,TRUE
FALSE,2,2,6,0.9,7,3,TRUE
FALSE,2,2,9,0.9,7,3,TRUE
FALSE,2,3,0,0.9,7,3,TRUE
TRUE,1,3,7,2,8,0,FALSE
TRUE,2,1,7,0.9,8,0,TRUE
FALSE,2,2,2,0.9,8,0,TRUE
FALSE,2,2,7,0.9,8,0,TRUE
TRUE,2,1,7,0.9,8,1,TRUE
FALSE,2,2,2,0.9,8,1,TRUE
FALSE,2,2,7,0.9,8,1,TRUE
TRUE,1,3,6,0.5,8,2,FALSE
TRUE,2,1,9,0.9,8,2,TRUE
FALSE,2,2,2,0.9,8,2,TRUE
FALSE,2,2,6,0.9,8,2,TRUE
TRUE,1,3,7,0.5,8,2.5,FALSE
TRUE,1,3,9,1,8,3,FALSE
TRUE,2,1,9,0.9,8,3,TRUE
FALSE,2,2,2,0.9,8,3,TRUE
FALSE,2,2,6,0.9,8,3,TRUE
TRUE,1,3,4,2,9,0,FALSE
TRUE,2,1,11,0.9,9,0,TRUE
FALSE,2,2,7,0.9,9,0,TRUE
FALSE,2,2,11,0.9,9,0,TRUE
TRUE,2,1,11,0.9,9,1,TRUE
FALSE,2,2,7,0.9,9,1,TRUE
FALSE,2,2,11,0.9,9,1,TRUE
TRUE,1,3,2,2,9,2,FALSE
TRUE,2,1,11,0.9,9,2,TRUE
FALSE,2,2,7,0.9,9,2,TRUE
FALSE,2,2,11,0.9,9,2,TRUE
TRUE,2,1,11,0.9,9,3,TRUE
FALSE,2,2,7,0.9,9,3,TRUE
TRUE,1,3,0,2,10,0,FALSE
TRUE,2,2,0,0.9,10,0,TRUE
FALSE,2,2,4,0.9,10,0,TRUE
FALSE,2,2,7,0.9,10,0,TRUE
TRUE,2,2,0,0.9,10,1,TRUE
FALSE,2,2,4,0.9,10,1,TRUE
FALSE,2,2,7,0.9,10,1,TRUE
TRUE,1,2,11,0.5,10,2,FALSE
TRUE,2,2,2,0.9,10,2,TRUE
FALSE,2,2,7,0.9,10,2,TRUE
FALSE,2,2,11,0.9,10,2,TRUE
TRUE,1,3,0,0.5,10,2.5,FALSE
TRUE,1,3,2,1,10,3,FALSE
TRUE,2,2,2,0.9,10,3,TRUE
FALSE,2,2,7,0.9,10,3,TRUE
FALSE,2,2,11,0.9,10,3,TRUE
TRUE,1,2,9,4,11,0,FALSE
TRUE,2,2,4,0.9,11,0,TRUE
FALSE,2,2,7,0.9,11,0,TRUE
TRUE,2,2,4,0.9,11,1,TRUE
FALSE,2,2,7,0.9,11,1,TRUE
TRUE,2,2,2,0.9,11,2,TRUE
FALSE,2,2,6,0.9,11,2,TRUE
TRUE,2,2,2,0.9,11,3,TRUE
FALSE,2,2,6,0.9,11,3,TRUE
TRUE,1,2,11,2,12,0,FALSE
TRUE,2,1,7,0.9,12,0,TRUE
FALSE,2,2,2,0.9,12,0,TRUE
FALSE,2,2,7,0.9,12,0,TRUE
TRUE,2,1,7,0.9,12,1,TRUE
FALSE,2,2,2,0.9,12,1,TRUE
FALSE,2,2,7,0.9,12,1,TRUE
TRUE,1,3,1,0.5,12,2,FALSE
TRUE,2,1,7,0.9,12,2,TRUE
FALSE,2,2,4,0.9,12,2,TRUE
FALSE,2,2,9,0.9,12,2,TRUE
TRUE,1,3,2,1,12,2.5,FALSE
TRUE,2,1,7,0.9,12,3,TRUE
FALSE,2,2,4,0.9,12,3,TRUE
FALSE,2,2,9,0.9,12,3,TRUE
TRUE,1,3,4,0.5,12,3.5,FALSE
TRUE,1,3,9,2,13,0,FALSE
TRUE,2,1,6,0.9,13,0,TRUE
FALSE,2,2,2,0.9,13,0,TRUE
FALSE,2,2,9,0.9,13,0,TRUE
TRUE,2,1,6,0.9,13,1,TRUE
FALSE,2,2,2,0.9,13,1,TRUE
FALSE,2,2,9,0.9,13,1,TRUE
TRUE,1,3,2,2,13,2,FALSE
TRUE,2,1,11,0.9,13,2,TRUE
FALSE,2,2,6,0.9,13,2,TRUE
FALSE,2,2,11,0.9,13,2,TRUE
TRUE,2,1,11,0.9,13,3,TRUE
FALSE,2,2,6,0.9,13,3,TRUE
FALSE,2,2,11,0.9,13,3,TRUE
TRUE,1,4,0,1.9,14,0,FALSE
TRUE,2,2,4,0.9,14,0,TRUE
FALSE,2,2,7,0.9,14,0,TRUE
FALSE,2,3,0,0.9,14,0,TRUE
TRUE,2,2,4,0.9,14,1,TRUE
FALSE,2,2,7,0.9,14,1,TRUE
FALSE,2,3,0,0.9,14,1,TRUE
TRUE,1,4,0,0.5,14,2,FALSE
TRUE,2,2,2,0.9,14,2,TRUE
FALSE,2,2,9,0.9,14,2,TRUE
FALSE,2,3,0,0.9,14,2,TRUE
TRUE,1,3,11,1,14,2.5,FALSE
TRUE,2,2,2,0.9,14,3,TRUE
FALSE,2,2,6,0.9,14,3,TRUE
FALSE,2,3,0,0.9,14,3,TRUE
TRUE,1,3,9,0.5,14,3.5,FALSE
TRUE,1,3,11,4,15,0,FALSE
TRUE,2,1,7,0.9,15,0,TRUE
FALSE,2,2,2,0.9,15,0,TRUE
FALSE,2,2,7,0.9,15,0,TRUE
FALSE,2,2,11,0.9,15,0,TRUE
TRUE,2,1,7,0.9,15,1,TRUE
FALSE,2,2,2,0.9,15,1,TRUE
FALSE,2,2,7,0.9,15,1,TRUE
FALSE,2,2,11,0.9,15,1,TRUE
TRUE,1,3,6,1,15,2,FALSE
TRUE,2,1,7,0.9,15,2,TRUE
FALSE,2,2,2,0.9,15,2,TRUE
FALSE,2,2,6,0.9,15,2,TRUE
FALSE,2,2,11,0.9,15,2,TRUE
TRUE,1,3,5,1,15,3,FALSE
TRUE,2,1,7,0.9,15,3,TRUE
FALSE,2,2,2,0.9,15,3,TRUE
FALSE,2,2,5,0.9,15,3,TRUE
FALSE,2,2,11,0.9,15,3,TRUE
TRUE,1,3,4,2,16,0,FALSE
TRUE,2,2,0,0.9,16,0,TRUE
FALSE,2,2,4,0.9,16,0,TRUE
FALSE,2,2,7,0.9,16,0,TRUE
TRUE,2,2,0,0.9,16,1,TRUE
FALSE,2,2,4,0.9,16,1,TRUE
FALSE,2,2,7,0.9,16,1,TRUE
TRUE,1,3,6,0.5,16,2,FALSE
TRUE,2,2,0,0.9,16,2,TRUE
FALSE,2,2,2,0.9,16,2,TRUE
FALSE,2,2,6,0.9,16,2,TRUE
FALSE,2,2,9,0.9,16,2,TRUE
TRUE,1,3,7,1,16,2.5,FALSE
TRUE,2,2,0,0.9,16,3,TRUE
FALSE,2,2,2,0.9,16,3,TRUE
FALSE,2,2,6,0.9,16,3,TRUE
FALSE,2,2,9,0.9,16,3,TRUE
TRUE,1,3,9,0.5,16,3.5,FALSE
TRUE,1,3,2,2,17,0,FALSE
TRUE,2,1,11,0.9,17,0,TRUE
FALSE,2,2,2,0.9,17,0,TRUE
FALSE,2,2,7,0.9,17,0,TRUE
TRUE,2,1,11,0.9,17,1,TRUE
FALSE,2,2,2,0.9,17,1,TRUE
FALSE,2,2,7,0.9,17,1,TRUE
TRUE,1,3,7,2,17,2,FALSE
TRUE,2,1,4,0.9,17,2,TRUE
FALSE,2,2,4,0.9,17,2,TRUE
FALSE,2,2,7,0.9,17,2,TRUE
FALSE,2,2,11,0.9,17,2,TRUE
TRUE,2,1,4,0.9,17,3,TRUE
FALSE,2,2,4,0.9,17,3,TRUE
FALSE,2,2,7,0.9,17,3,TRUE
FALSE,2,2,11,0.9,17,3,TRUE
TRUE,1,3,0,1.9,18,0,FALSE
TRUE,2,1,9,0.9,18,0,TRUE
FALSE,2,2,4,0.9,18,0,TRUE
FALSE,2,2,7,0.9,18,0,TRUE
TRUE,2,1,9,0.9,18,1,TRUE
FALSE,2,2,4,0.9,18,1,TRUE
FALSE,2,2,7,0.9,18,1,TRUE
TRUE,1,3,0,0.5,18,2,FALSE
TRUE,2,2,2,0.9,18,2,TRUE
FALSE,2,2,6,0.9,18,2,TRUE
TRUE,1,2,11,1,18,2.5,FALSE
TRUE,2,2,2,0.9,18,3,TRUE
FALSE,2,2,6,0.9,18,3,TRUE
TRUE,1,2,9,0.5,18,3.5,FALSE
TRUE,1,2,7,4,19,0,FALSE
TRUE,2,0,7,4,19,0,TRUE
FALSE,2,1,7,4,19,0,TRUE
FALSE,2,2,2,4,19,0,TRUE
FALSE,2,2,7,4,19,0,TRUE
